date,ticker,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PR013
2013-03-26,EWZ US Equity,42.7923,43.2114,42.7364,42.8801,12016481
2013-03-27,EWZ US Equity,42.6007,43.4549,42.433,43.2953,14976872
2013-03-28,EWZ US Equity,43.4949,43.5587,43.1117,43.4949,9867155
2013-03-29,EWZ US Equity,,,,,
2013-04-01,EWZ US Equity,43.407,43.5029,43.0398,43.0877,8013235
2013-04-02,EWZ US Equity,43.2793,43.2793,42.6566,42.7843,10635011
2013-04-03,EWZ US Equity,42.5368,42.8003,42.4011,42.5927,13227950
2013-04-04,EWZ US Equity,42.8083,42.928,42.3612,42.4969,12760078
2013-04-05,EWZ US Equity,42.2015,43.3512,41.9939,43.1995,14828856
2013-04-08,EWZ US Equity,43.2249,43.2713,42.7444,43.1675,11354139
2013-04-09,EWZ US Equity,43.5428,44.2294,43.3352,44.0218,14020278
2013-04-10,EWZ US Equity,44.389,45.0197,44.3731,44.4769,14235793
2013-04-11,EWZ US Equity,44.4369,44.4609,43.8142,44.0697,14856157
2013-04-12,EWZ US Equity,43.8861,44.2844,43.2554,43.894,12859562
2013-04-15,EWZ US Equity,43.0877,43.1915,42.1856,42.2414,22692096
2013-04-16,EWZ US Equity,42.5927,43.0079,42.3372,42.8801,13967862
2013-04-17,EWZ US Equity,42.4889,42.5608,41.6107,41.9221,16912743
2013-04-18,EWZ US Equity,41.8981,42.1536,41.463,41.8662,18593765
2013-04-19,EWZ US Equity,42.2255,42.5688,42.0578,42.473,14844847
2013-04-22,EWZ US Equity,42.3372,42.4783,41.986,42.4091,6330478
2013-04-23,EWZ US Equity,42.6247,43.2314,42.4809,42.92,16002878
2013-04-24,EWZ US Equity,43.1596,43.4869,43.1196,43.3432,8633420
2013-04-25,EWZ US Equity,43.2075,43.7184,43.1436,43.5587,11827945
2013-04-26,EWZ US Equity,43.3192,43.4709,42.6326,42.8881,10225782
2013-04-29,EWZ US Equity,43.2793,43.4488,42.944,43.2394,9600180
2013-04-30,EWZ US Equity,43.0318,44.1735,42.9759,44.0298,14473072
2013-05-01,EWZ US Equity,43.8701,43.926,43.2474,43.4869,9538633
2013-05-02,EWZ US Equity,43.8701,43.9739,43.5188,43.6545,12251264
2013-05-03,EWZ US Equity,44.1176,44.429,43.7583,43.7583,9921579
2013-05-06,EWZ US Equity,43.7503,43.7903,43.3368,43.7024,14050446
2013-05-07,EWZ US Equity,43.7424,44.5088,43.7104,44.3651,12381764
2013-05-08,EWZ US Equity,44.6763,44.8521,44.2533,44.4449,10897181
2013-05-09,EWZ US Equity,44.5248,44.7802,43.8141,44.0936,14890067
2013-05-10,EWZ US Equity,44.0378,44.1336,43.6186,43.7583,11573945
2013-05-13,EWZ US Equity,43.7743,43.91,43.407,43.6945,8701377
2013-05-14,EWZ US Equity,43.6386,43.9498,43.407,43.431,8210334
2013-05-15,EWZ US Equity,43.431,43.7144,43.3192,43.4549,8663184
2013-05-16,EWZ US Equity,43.5188,43.894,43.3432,43.447,10807933
2013-05-17,EWZ US Equity,43.4709,43.7663,43.2953,43.4789,6767008
2013-05-20,EWZ US Equity,43.5827,43.942,43.3432,43.8541,11591560
2013-05-21,EWZ US Equity,43.9579,44.3253,43.5987,44.1256,8150787
2013-05-22,EWZ US Equity,44.2373,44.7643,43.7144,43.8382,12801213
2013-05-23,EWZ US Equity,43.3432,43.7344,43.1117,43.6306,14081682
2013-05-24,EWZ US Equity,43.5747,43.6146,43.0318,43.5747,10008929
2013-05-27,EWZ US Equity,,,,,
2013-05-28,EWZ US Equity,43.7823,43.9819,43.2514,43.3591,10085180
2013-05-29,EWZ US Equity,42.7205,42.952,41.6826,41.8343,22687211
2013-05-30,EWZ US Equity,41.6985,42.3451,41.5229,41.8103,12520642
2013-05-31,EWZ US Equity,41.3792,41.4351,40.2336,40.6287,22703914
2013-06-03,EWZ US Equity,40.8203,41.2115,40.4531,41.0998,17652770
2013-06-04,EWZ US Equity,41.2994,41.3553,40.4531,40.8203,10550233
2013-06-05,EWZ US Equity,41.0359,41.1437,40.002,40.038,19921001
2013-06-06,EWZ US Equity,39.9182,40.3094,39.7426,40.2455,21756607
2013-06-07,EWZ US Equity,39.5669,40.2216,39.2436,39.7026,19374245
2013-06-10,EWZ US Equity,39.1997,39.4471,38.8404,39.2715,13761560
2013-06-11,EWZ US Equity,38.1618,38.7799,37.979,38.5051,23708438
2013-06-12,EWZ US Equity,38.545,38.6727,37.5151,37.7546,21269805
2013-06-13,EWZ US Equity,38.0261,38.6767,37.8185,38.537,16512366
2013-06-14,EWZ US Equity,38.8324,38.8324,37.8904,38.0261,13341791
2013-06-17,EWZ US Equity,37.9941,38.3694,37.4433,37.8265,14429248
2013-06-18,EWZ US Equity,37.4433,37.7945,37.1638,37.595,17644726
2013-06-19,EWZ US Equity,37.4912,37.7466,36.102,36.2377,23547977
2013-06-20,EWZ US Equity,34.7847,35.4154,34.2738,35.0801,41857647
2013-06-21,EWZ US Equity,35.0242,35.1999,34.3217,35.0801,26878124
2013-06-24,EWZ US Equity,34.3057,34.7208,33.2519,34.3855,25478618
2013-06-25,EWZ US Equity,34.8805,35.112,34.2498,34.9444,16910666
2013-06-26,EWZ US Equity,35.4154,35.8625,35.2478,35.5912,31061645
2013-06-27,EWZ US Equity,35.7564,36.3506,35.7564,36.0494,13597870
2013-06-28,EWZ US Equity,35.3983,35.8622,35.2029,35.6994,17369934
2013-07-01,EWZ US Equity,35.5692,36.0006,35.321,35.6425,11768725
2013-07-02,EWZ US Equity,35.2682,35.5122,33.9658,34.4541,22060536
2013-07-03,EWZ US Equity,33.9983,34.503,33.8355,34.2181,13509725
2013-07-04,EWZ US Equity,,,,,
2013-07-05,EWZ US Equity,33.9413,34.0797,33.1111,33.7541,21821737
2013-07-08,EWZ US Equity,33.9739,34.2018,33.689,33.746,17928521
2013-07-09,EWZ US Equity,33.9983,34.4216,33.9413,34.1611,9713006
2013-07-10,EWZ US Equity,33.9739,34.3402,33.7053,33.7948,16567264
2013-07-11,EWZ US Equity,34.6495,34.9995,34.2181,34.9506,23025447
2013-07-12,EWZ US Equity,34.682,34.8285,34.3076,34.4216,12486620
2013-07-15,EWZ US Equity,34.5192,35.6181,34.5192,35.3901,14324828
2013-07-16,EWZ US Equity,35.675,35.675,34.9343,35.2314,16876960
2013-07-17,EWZ US Equity,35.7646,36.0169,35.6262,35.8053,18236624
2013-07-18,EWZ US Equity,35.8134,36.2855,35.789,35.9762,14568889
2013-07-19,EWZ US Equity,35.6262,35.7479,35.4634,35.5855,12882213
2013-07-22,EWZ US Equity,35.675,36.4564,35.5285,36.2448,15600899
2013-07-23,EWZ US Equity,36.8471,36.9448,36.6273,36.7576,22942843
2013-07-24,EWZ US Equity,36.5459,36.6192,35.675,36.0494,19743093
2013-07-25,EWZ US Equity,35.8622,36.489,35.8053,36.432,13237250
2013-07-26,EWZ US Equity,36.4157,36.4401,35.8378,36.3506,16021860
2013-07-29,EWZ US Equity,36.2203,36.2529,35.8215,35.9762,11406319
2013-07-30,EWZ US Equity,36.1308,36.1553,35.439,35.5448,12542336
2013-07-31,EWZ US Equity,35.4146,35.8053,35.0239,35.4064,17948899
2013-08-01,EWZ US Equity,35.7727,35.9762,35.5448,35.7239,13793509
2013-08-02,EWZ US Equity,35.675,36.1797,35.6506,35.7808,9417606
2013-08-05,EWZ US Equity,35.5528,35.6587,35.1867,35.2355,10662120
2013-08-06,EWZ US Equity,35.3007,35.3901,34.6739,34.8204,16171783
2013-08-07,EWZ US Equity,34.5274,34.9181,34.4704,34.5599,11450536
2013-08-08,EWZ US Equity,35.0564,35.9518,34.8041,35.6669,21953347
2013-08-09,EWZ US Equity,35.8948,36.5378,35.8297,36.3099,16080738
2013-08-12,EWZ US Equity,36.7333,37.189,36.1634,36.3832,20396251
2013-08-13,EWZ US Equity,36.2122,36.3872,35.8622,36.1553,17518108
2013-08-14,EWZ US Equity,36.1471,36.3994,35.8297,35.9192,29348140
2013-08-15,EWZ US Equity,35.3494,35.9925,35.207,35.7727,24555587
2013-08-16,EWZ US Equity,35.5774,35.6099,34.8529,35.1134,21861502
2013-08-19,EWZ US Equity,34.9588,35.1663,34.4948,34.5843,25517328
2013-08-20,EWZ US Equity,34.5599,34.8326,34.2669,34.2832,19588246
2013-08-21,EWZ US Equity,33.9902,34.1367,33.3797,33.5832,23077470
2013-08-22,EWZ US Equity,33.8844,34.2547,33.7541,34.153,18580362
2013-08-23,EWZ US Equity,34.7319,35.6913,34.5518,35.6343,24200612
2013-08-26,EWZ US Equity,35.5937,35.6018,34.8041,35.032,16272922
2013-08-27,EWZ US Equity,34.3401,34.6169,34.1367,34.5925,19183356
2013-08-28,EWZ US Equity,34.4785,35.0727,34.2749,34.5274,12004092
2013-08-29,EWZ US Equity,34.5355,35.032,34.2913,34.4785,10493553
2013-08-30,EWZ US Equity,34.7554,34.7554,34.0105,34.503,13688971
2013-09-02,EWZ US Equity,,,,,
2013-09-03,EWZ US Equity,34.9018,35.1134,34.625,34.9343,15526230
2013-09-04,EWZ US Equity,34.7308,35.2273,34.6413,35.1785,11652930
2013-09-05,EWZ US Equity,35.2029,36.3099,35.146,36.0258,16891475
2013-09-06,EWZ US Equity,36.6843,37.0343,36.3669,36.8634,21851958
2013-09-09,EWZ US Equity,37.2785,38.2674,37.2459,38.1982,39522957
2013-09-10,EWZ US Equity,38.4587,38.6093,37.9541,38.2796,26021048
